antecedents,consequents,confidence
beef,other vegetables,0.375968992
other vegetables,beef,0.101944298
rolls/buns,beef,0.074074074
beef,rolls/buns,0.259689922
root vegetables,beef,0.159514925
beef,root vegetables,0.331395349
whole milk,beef,0.083167529
beef,whole milk,0.40503876
beef,yogurt,0.222868217
yogurt,beef,0.083819242
berries,other vegetables,0.308868502
berries,whole milk,0.354740061
berries,yogurt,0.318042813
yogurt,berries,0.075801749
bottled beer,bottled water,0.195707071
bottled water,bottled beer,0.142594296
bottled beer,other vegetables,0.200757576
other vegetables,bottled beer,0.083552286
bottled beer,rolls/buns,0.169191919
rolls/buns,bottled beer,0.074074074
bottled beer,soda,0.210858586
soda,bottled beer,0.097376093
bottled beer,whole milk,0.253787879
whole milk,bottled beer,0.079984083
bottled water,citrus fruit,0.122355106
citrus fruit,bottled water,0.163390663
bottled water,fruit/vegetable juice,0.128794848
fruit/vegetable juice,bottled water,0.196905767
bottled water,margarine,0.092916283
margarine,bottled water,0.175347222
bottled water,newspapers,0.102115915
newspapers,bottled water,0.141401274
bottled water,other vegetables,0.224471021
other vegetables,bottled water,0.128218602
pip fruit,bottled water,0.139784946
bottled water,pip fruit,0.095676173
rolls/buns,bottled water,0.1315644
bottled water,rolls/buns,0.218951242
bottled water,root vegetables,0.141674333
root vegetables,bottled water,0.143656716
bottled water,sausage,0.108555658
sausage,bottled water,0.127705628
shopping bags,bottled water,0.111455108
bottled water,shopping bags,0.099356026
soda,bottled water,0.166180758
bottled water,soda,0.262189512
bottled water,tropical fruit,0.167433303
tropical fruit,bottled water,0.176356589
bottled water,whole milk,0.310947562
whole milk,bottled water,0.134500597
bottled water,yogurt,0.207911684
yogurt,bottled water,0.164723032
other vegetables,brown bread,0.096689438
brown bread,other vegetables,0.288401254
rolls/buns,brown bread,0.068546158
brown bread,rolls/buns,0.194357367
root vegetables,brown bread,0.093283582
brown bread,root vegetables,0.156739812
sausage,brown bread,0.113636364
brown bread,sausage,0.164576803
soda,brown bread,0.072303207
brown bread,soda,0.194357367
tropical fruit,brown bread,0.101744186
brown bread,tropical fruit,0.164576803
whole milk,brown bread,0.098686828
brown bread,whole milk,0.388714734
brown bread,yogurt,0.224137931
yogurt,brown bread,0.104227405
butter,other vegetables,0.36146789
other vegetables,butter,0.103520757
butter,rolls/buns,0.242201835
rolls/buns,butter,0.072968491
butter,root vegetables,0.233027523
root vegetables,butter,0.118470149
butter,whipped/sour cream,0.183486239
whipped/sour cream,butter,0.141843972
butter,whole milk,0.497247706
whole milk,butter,0.107839236
butter,yogurt,0.264220183
yogurt,butter,0.104956268
butter milk,other vegetables,0.370909091
butter milk,whole milk,0.414545455
canned beer,rolls/buns,0.145287958
rolls/buns,canned beer,0.061359867
shopping bags,canned beer,0.115583075
canned beer,shopping bags,0.146596859
canned beer,soda,0.178010471
soda,canned beer,0.079300292
chicken,other vegetables,0.417061611
other vegetables,chicken,0.092485549
chicken,root vegetables,0.253554502
root vegetables,chicken,0.099813433
chicken,whole milk,0.409952607
whole milk,chicken,0.068842021
other vegetables,chocolate,0.065685759
chocolate,other vegetables,0.256147541
rolls/buns,chocolate,0.064123825
chocolate,rolls/buns,0.237704918
soda,chocolate,0.07755102
chocolate,soda,0.272540984
whole milk,chocolate,0.065260645
chocolate,whole milk,0.336065574
domestic eggs,citrus fruit,0.163461538
citrus fruit,domestic eggs,0.125307125
fruit/vegetable juice,citrus fruit,0.143459916
citrus fruit,fruit/vegetable juice,0.125307125
other vegetables,citrus fruit,0.149238045
citrus fruit,other vegetables,0.348894349
pip fruit,citrus fruit,0.182795699
